% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
88,2339,22300,-2.8,119469,,,,,
,,,,,88,68,629,-88.3,120008
88,2349,22400,-3.5,120074,,,,,
88,2364,22500,-2.8,120580,,,,,
88,2374,22600,-3.2,121127,,,,,
87,2391,22700,-2.7,121622,,,,,
,,,,,87,69,639,-87.5,121903
87,2401,22800,-3.2,122202,,,,,
87,2414,22900,-3.0,122730,,,,,
87,2429,23000,-2.8,123280,,,,,
87,2446,23100,-2.8,123840,,,,,
,,,,,87,69,649,-88.6,123903
87,2457,23200,-3.1,124434,,,,,
87,2469,23300,-3.2,125020,,,,,
87,2476,23400,-3.1,125579,,,,,
,,,,,87,70,659,-89.0,125803
87,2488,23500,-2.6,126103,,,,,
87,2494,23600,-3.5,126734,,,,,
87,2506,23700,-3.1,127287,,,,,
,,,,,87,70,669,-89.9,127803
87,2515,23800,-3.6,127919,,,,,
87,2531,23900,-2.5,128428,,,,,
87,2540,24000,-3.4,129016,,,,,
87,2553,24100,-2.9,129519,,,,,
,,,,,87,71,679,-89.7,129714
87,2570,24200,-2.8,130045,,,,,
87,2586,24300,-2.6,130558,,,,,
87,2602,24400,-2.5,131092,,,,,
,,,,,86,74,689,-88.3,131414
86,2617,24500,-2.4,131590,,,,,
86,2626,24600,-3.6,132214,,,,,
86,2640,24700,-2.4,132706,,,,,
86,2661,24800,-2.3,133197,,,,,
,,,,,86,75,699,-87.4,133309
86,2684,24900,-2.3,133651,,,,,
86,2693,25000,-3.4,134255,,,,,
86,2702,25100,-3.5,134860,,,,,
,,,,,86,75,709,-88.5,135309
86,2719,25200,-2.8,135417,,,,,
86,2727,25300,-3.3,135983,,,,,
86,2737,25400,-3.2,136555,,,,,
86,2751,25500,-2.8,137068,,,,,
,,,,,86,76,719,-89.4,137293
86,2764,25600,-2.5,137544,,,,,
86,2773,25700,-3.1,138061,,,,,
86,2789,25800,-2.9,138585,,,,,
86,2812,25900,-2.0,139061,,,,,
,,,,,86,78,729,-88.2,139141
86,2823,26000,-3.2,139639,,,,,
86,2837,26100,-3.1,140193,,,,,
86,2850,26200,-3.1,140734,,,,,
,,,,,86,80,739,-88.1,140980
86,2858,26300,-2.8,141278,,,,,
85,2867,26400,-3.3,141898,,,,,
85,2885,26500,-2.4,142415,,,,,
,,,,,85,82,749,-86.2,142704
85,2897,26600,-2.9,142983,,,,,
85,2914,26700,-3.0,143534,,,,,
85,2931,26800,-2.6,144051,,,,,
85,2948,26900,-2.2,144492,,,,,
,,,,,85,82,759,-86.1,144704
85,2966,27000,-2.3,144945,,,,,
85,2987,27100,-2.6,145458,,,,,
85,3001,27200,-2.8,145990,,,,,
85,3019,27300,-2.7,146494,,,,,
,,,,,85,83,769,-85.4,146678
85,3031,27400,-3.2,147058,,,,,
85,3045,27500,-2.8,147609,,,,,
85,3060,27600,-2.5,148064,,,,,
85,3089,27700,-1.9,148520,,,,,
,,,,,85,84,779,-84.7,148576
85,3106,27800,-2.9,149078,,,,,
85,3119,27900,-3.0,149646,,,,,
85,3141,28000,-2.4,150122,,,,,
,,,,,85,86,789,-86.2,150489
85,3152,28100,-3.0,150700,,,,,
85,3161,28200,-2.7,151216,,,,,
84,3187,28300,-2.3,151715,,,,,
84,3203,28400,-2.5,152197,,,,,
,,,,,84,88,799,-85.8,152329
84,3215,28500,-3.0,152747,,,,,
84,3229,28600,-2.6,153264,,,,,
84,3240,28700,-2.8,153837,,,,,
,,,,,84,88,809,-85.4,154329
84,3249,28800,-3.6,154484,,,,,
84,3262,28900,-2.9,155078,,,,,
84,3273,29000,-2.9,155624,,,,,
84,3286,29100,-3.3,156250,,,,,
,,,,,84,88,819,-84.8,156329
84,3297,29200,-2.7,156743,,,,,
84,3305,29300,-3.3,157356,,,,,
84,3317,29400,-2.9,157975,,,,,
,,,,,84,89,829,-84.7,158173
84,3335,29500,-2.8,158560,,,,,
